time,doy,temp,rh,ws,swin,swout,lwin,lwout,lw,sw
2016-11-17 17:00:00,322,5.83,56.46,0.47,319.5,223.3,-96.21,-32.15,267.8277049281063,457.03667777344276
2016-11-17 18:00:00,322,5.68,55.99,0.85,356.0,242.0,-96.39,-30.93,265.4367326999993,477.31394639539485
2016-11-17 13:00:00,322,5.02,63.64,1.65,299.7,195.1,-96.48,-29.94,260.92821615762546,462.9825254846621
2016-11-17 14:00:00,322,3.43,68.98,1.67,210.2,92.8,-95.47,-27.71,251.79218161564444,470.39902931340123
2016-11-17 15:00:00,322,2.08,79.0,0.91,33.0,29.5,-85.01,-20.55,249.25758727148067,329.4937147803355
2016-11-17 16:00:00,322,-0.83,89.6,0.34,5.6,8.1,-77.2,-17.11,240.8735121212045,308.8664282959388
2016-11-17 17:00:00,322,-3.3,88.3,0.31,-2.4,0.8,-58.43,-13.65,247.78903991382148,296.8799490047306
2016-11-17 18:00:00,322,-4.15,89.4,0.29,0.1,0.7,-13.83,-7.53,289.4496654717744,296.1792994741357
2016-11-17 19:00:00,322,-3.28,93.4,0.14,1.0,0.2,-0.67,-2.85,303.32092226979984,301.69164245870184
2016-11-17 20:00:00,322,-1.93,91.5,1.33,-0.1,0.7,-2.18,-2.0,306.5977641141801,305.8657688367303
2016-11-17 21:00:00,322,-2.21,88.3,1.07,-0.9,1.0,-8.62,-2.97,298.8746677092507,303.30205850027784
2016-11-17 22:00:00,322,-2.31,90.8,0.23,-1.0,0.9,-16.39,-4.01,290.47813751018833,302.8512189741789
2016-11-17 23:00:00,322,-3.23,89.4,0.2,-2.1,1.0,-24.65,-9.95,283.6147054395348,297.31010095311217
2016-11-18 00:00:00,322,-4.75,88.1,0.26,-2.5,0.5,-16.75,-11.84,288.45078865134815,290.7058063609113
2016-11-18 01:00:00,323,-5.69,95.0,0.27,-2.2,0.7,-9.17,-12.08,293.58287938154604,286.72337524931464
2016-11-18 02:00:00,323,-5.8,92.7,0.42,-1.5,1.2,-5.53,-11.96,297.2616950399237,286.482474260703
2016-11-18 03:00:00,323,-4.97,86.3,0.56,-1.5,1.9,-4.31,-13.17,303.74460653218057,289.2699902393824
2016-11-18 04:00:00,323,-4.45,82.4,0.91,-1.3,2.4,-3.1,-12.75,306.958642188892,291.19713097283534
2016-11-18 05:00:00,323,-0.73,81.6,1.94,-1.7,2.6,-3.16,-12.51,323.31525261481175,307.1995501354729
2016-11-18 06:00:00,323,-0.21,76.6,2.56,-1.8,4.4,-5.16,-10.69,321.19636622578236,307.3474878314494
2016-11-18 07:00:00,323,-2.23,85.9,0.8,3.2,7.9,-6.74,-14.15,314.20358618633935,299.9060655251823
2016-11-18 08:00:00,323,-1.0,74.6,1.56,45.7,47.4,-7.65,-10.08,313.9090711715046,309.0330381136534
2016-11-18 09:00:00,323,1.86,51.7,2.8,121.8,107.5,-30.41,-11.29,301.7486534763077,341.2055602059417
2016-11-18 10:00:00,323,4.74,53.88,2.29,212.9,168.8,-29.73,-21.43,328.323724244722,390.18913156467477
2016-11-18 11:00:00,323,5.11,51.79,2.72,287.6,222.7,-32.21,-25.72,332.26506983116684,416.5507841168812
2016-11-18 12:00:00,323,4.56,56.59,2.42,118.3,96.0,-24.8,-20.32,331.95854955518644,363.5760229908417
2016-11-18 13:00:00,323,3.1,78.4,1.97,92.4,75.8,-18.98,-14.07,324.4145785265116,349.8100921038434
2016-11-18 14:00:00,323,1.07,86.5,3.32,75.9,61.5,-13.16,-6.25,312.45364074179645,337.6130268102734
2016-11-18 15:00:00,323,0.25,93.2,3.01,35.3,29.6,-8.44,-2.55,309.84015592579567,323.5237450639302
2016-11-18 16:00:00,323,-0.26,96.1,2.12,3.9,3.8,-4.49,-0.3,309.49005637314,314.5549914380751
2016-11-18 17:00:00,323,-0.39,97.1,0.76,-0.5,-0.1,-1.7,0.06,311.7602647153997,313.36593177561224
2016-11-18 18:00:00,323,-0.46,97.6,0.65,-0.7,0.0,-1.4,0.06,311.79241143258963,312.6896959662378
2016-11-18 19:00:00,323,-0.43,97.2,0.37,-0.7,0.0,-1.09,0.06,312.2963977984153,312.82768469333854
2016-11-18 20:00:00,323,-0.39,96.6,0.41,-1.0,0.3,-1.15,-0.49,313.05896601410103,312.30335798576573
2016-11-18 21:00:00,323,0.05,93.3,0.52,-1.0,0.6,-0.79,-0.91,316.00982805118673,313.9791314750356
2016-11-18 22:00:00,323,-0.08,97.4,0.53,-0.8,0.1,-0.61,-0.73,315.4090438658959,314.2047935707365
2016-11-18 23:00:00,323,0.04,96.2,1.45,-0.5,0.5,-0.61,-0.3,315.4559092791429,314.6412693735939
2016-11-19 00:00:00,323,0.02,97.6,1.36,-0.2,0.3,-0.55,-0.06,315.1509204988318,315.13911412338905
2016-11-19 01:00:00,324,0.03,97.8,1.99,-0.5,0.3,-0.61,-0.06,315.126316718525,314.83115733245654
2016-11-19 02:00:00,324,0.11,97.0,1.97,-0.3,0.6,-0.61,0.06,315.35469881836224,315.08315218317927
2016-11-19 03:00:00,324,0.17,98.0,0.81,-0.3,0.5,-0.61,0.0,315.7032944003739,315.4789732669619
2016-11-19 04:00:00,324,0.08,98.3,1.15,-0.2,0.1,-0.61,0.0,315.2867269996871,315.652724638412
