time,doy,temp,rh,ws,swin,swout,lwin,lwout,lw,sw,height,water
2016-11-17 14:00:00,322,3.43,68.98,1.67,210.2,92.8,-95.47,-27.71,251.79218161564444,470.39902931340123,5.378823529411766,1.0
2016-11-17 16:00:00,322,-0.83,89.6,0.34,5.6,8.1,-77.2,-17.11,240.8735121212045,308.8664282959388,5.507915294117647,1.0
2016-11-18 10:00:00,323,4.74,53.88,2.29,212.9,168.8,-29.73,-21.43,328.323724244722,390.18913156467477,5.400338823529412,1.0
2016-11-18 12:00:00,323,4.56,56.59,2.42,118.3,96.0,-24.8,-20.32,331.95854955518644,363.5760229908417,5.540188235294118,1.0
2016-11-18 14:00:00,323,1.07,86.5,3.32,75.9,61.5,-13.16,-6.25,312.45364074179645,337.6130268102734,5.529430588235294,1.0
2016-11-19 10:00:00,324,0.69,94.7,2.23,123.6,136.8,-1.27,0.97,316.19375893010607,303.253971444864,5.432611764705883,1.0
2016-11-19 12:00:00,324,1.68,84.4,2.06,153.4,130.8,-5.16,-4.79,323.0373364556046,350.15658084757627,5.4433694117647065,1.0
2016-11-19 16:00:00,324,1.39,67.72,1.48,3.9,7.8,-34.76,-4.85,286.7981460104096,317.506528536974,5.604734117647059,1.0
2016-11-20 08:00:00,325,-2.88,75.3,0.6,72.5,58.9,-43.29,-10.2,263.46686801586776,318.59083495801656,5.583218823529411,1.0
2016-11-20 10:00:00,325,-0.48,60.59,0.53,213.3,164.9,-62.82,-21.49,264.6284253554895,370.5670322031873,5.45412705882353,1.0
2016-11-20 12:00:00,325,1.69,54.25,2.73,358.8,269.2,-76.01,-22.56,260.41617806782915,429.3063787762117,5.497157647058824,1.0
2016-11-20 14:00:00,325,2.19,57.7,2.22,266.3,153.9,-78.12,-25.4,263.63872729397764,458.5855986044853,5.464884705882353,1.0
2016-11-20 16:00:00,325,0.86,56.21,2.07,16.3,14.2,-63.21,-14.68,262.33452465856686,322.1102035251548,5.583218823529411,1.0
2016-11-21 08:00:00,326,2.44,79.8,2.19,54.6,46.1,-2.73,-6.13,331.08128112815245,337.1025326039494,5.604734117647059,1.0
2016-11-21 10:00:00,326,3.54,77.8,2.38,184.8,150.0,-2.37,-13.04,344.91773402776175,373.40651797109115,5.45412705882353,1.0
2016-11-21 12:00:00,326,5.26,63.81,2.2,392.6,302.2,-7.7,-21.47,356.9183501315505,447.39060514926007,5.45412705882353,1.0
2016-11-21 14:00:00,326,4.27,75.7,1.07,148.0,118.3,-8.12,-18.5,348.0963379178533,370.9062552732252,5.604734117647059,1.0
2016-11-21 16:00:00,326,2.53,87.5,1.3,6.4,6.9,-0.43,-6.73,334.9325832934724,326.9042479924098,5.5939764705882355,1.0
2016-11-22 08:00:00,327,2.54,82.1,0.93,53.4,42.6,-0.43,-6.98,335.27526333921514,340.29297290237923,5.529430588235294,1.0
2016-11-22 10:00:00,327,4.53,65.1,1.07,215.5,160.9,0.61,-20.02,361.45865529429784,401.5649126732825,5.4433694117647065,1.0
2016-11-22 12:00:00,327,5.63,60.98,2.66,303.9,221.4,-4.12,-26.62,369.03984909467283,439.87810175110724,5.4433694117647065,1.0
2016-11-22 14:00:00,327,4.84,68.8,2.27,97.2,74.6,-21.04,-19.95,337.32308422994385,365.29238765379273,5.572461176470588,1.0
2016-11-22 16:00:00,327,4.33,71.7,1.91,8.0,6.7,-15.71,-14.01,334.12487177095994,337.66678440378166,5.099124705882353,1.0
